k,T,M,num items,loops,Resultado,Ideal
1,273,10,100,10,262,False
1,273,10,1000,11,273,True
1,273,10,10000,10,273,True
1,5629,10,100,15,5626,False
1,5629,10,1000,16,5629,True
1,5629,10,10000,15,5629,True
1,31381,10,100,46,31378,False
1,31381,10,1000,42,31381,True
1,31381,10,10000,41,31381,True
3,273,10,100,10,262,False
3,273,10,1000,11,273,True
3,273,10,10000,10,273,True
3,5629,10,100,15,5626,False
3,5629,10,1000,16,5629,True
3,5629,10,10000,15,5629,True
3,31381,10,100,46,31378,False
3,31381,10,1000,42,31381,True
3,31381,10,10000,41,31381,True
5,273,10,100,11,265,False
5,273,10,1000,11,273,True
5,273,10,10000,10,273,True
5,5629,10,100,15,5626,False
5,5629,10,1000,16,5629,True
5,5629,10,10000,15,5629,True
5,31381,10,100,46,31378,False
5,31381,10,1000,42,31381,True
5,31381,10,10000,41,31381,True
20,273,10,100,11,273,True
20,273,10,1000,11,273,True
20,273,10,10000,10,273,True
20,5629,10,100,15,5626,False
20,5629,10,1000,16,5629,True
20,5629,10,10000,15,5629,True
20,31381,10,100,46,31378,False
20,31381,10,1000,42,31381,True
20,31381,10,10000,41,31381,True
50,273,10,100,11,273,True
50,273,10,1000,11,273,True
50,273,10,10000,10,273,True
50,5629,10,100,15,5626,False
50,5629,10,1000,16,5629,True
50,5629,10,10000,15,5629,True
50,31381,10,100,46,31378,False
50,31381,10,1000,42,31381,True
50,31381,10,10000,41,31381,True
